epoch,train-rmse-E,train-rmse-F,train-loss,test-rmse-E,test-rmse-F,test-loss
256.0,0.006377534,0.0608655,0.02027644,0.00557009,0.05999038,0.01977146
257.0,0.006400121,0.0607027,0.02023471,0.005497803,0.05997395,0.01974622
258.0,0.006415364,0.06054431,0.02019204,0.005488579,0.05983554,0.01970162
259.0,0.006416856,0.0602968,0.02011831,0.005438132,0.05951516,0.01959027
260.0,0.006400524,0.0601347,0.02006452,0.005379774,0.05919652,0.01947729
261.0,0.00636314,0.06002103,0.02001854,0.005317042,0.05889376,0.01936797
262.0,0.006399175,0.05988845,0.0199903,0.005345998,0.05871688,0.01932219
263.0,0.006321344,0.05984666,0.01995299,0.005307368,0.05864129,0.01928855
264.0,0.006312447,0.05977907,0.01992989,0.005309371,0.05863223,0.01928635
265.0,0.006315687,0.05968596,0.019903,0.005313837,0.05860321,0.01927876
266.0,0.006311171,0.05962071,0.019882,0.005273638,0.05854326,0.01924948
267.0,0.006314614,0.05952624,0.01985476,0.005270691,0.05858167,0.01926036
268.0,0.006303202,0.05948978,0.01984021,0.005238421,0.05852802,0.01923523
269.0,0.006277566,0.05943688,0.01981621,0.005176815,0.05841081,0.01918285
270.0,0.006267081,0.05934365,0.01978492,0.005147466,0.05824407,0.01912416
271.0,0.006245648,0.05931709,0.01977018,0.005142441,0.05824412,0.01912282
272.0,0.006226085,0.05922435,0.01973617,0.005123193,0.05812274,0.01908068
273.0,0.006233765,0.05917952,0.01972515,0.005151201,0.05809187,0.01907882
274.0,0.006242015,0.059119,0.0197096,0.005207221,0.05806283,0.01908519
275.0,0.006274691,0.05900632,0.0196862,0.00530843,0.05796412,0.01908307
276.0,0.006318694,0.0589033,0.01966941,0.00550754,0.05791928,0.01912583
277.0,0.006279203,0.05886444,0.01964512,0.005417228,0.05784138,0.0190764
278.0,0.006274572,0.05881646,0.01962926,0.005387313,0.0577461,0.01903902
279.0,0.006277822,0.05878789,0.01962174,0.005399531,0.05769794,0.01902788
280.0,0.006310254,0.05871732,0.01961101,0.005410815,0.05765627,0.01901845
281.0,0.006295481,0.05865717,0.01958825,0.005449952,0.05755645,0.01899938
282.0,0.006300656,0.0586068,0.01957483,0.005474178,0.05751316,0.01899324
283.0,0.006317611,0.05852465,0.01955571,0.005506141,0.05744276,0.01898117
284.0,0.00633405,0.05839473,0.01952216,0.005547973,0.05727071,0.01894131
285.0,0.006442708,0.05821733,0.01950472,0.005738506,0.05708092,0.01894079
286.0,0.006358919,0.05812657,0.01945008,0.005641717,0.0569496,0.01887206
287.0,0.006325144,0.05812206,0.01943772,0.005588834,0.05693691,0.01885249
288.0,0.006277573,0.05810446,0.01941702,0.005544419,0.05693902,0.01884001
289.0,0.006220438,0.05814285,0.01941013,0.005440872,0.05688709,0.01879407
290.0,0.00621052,0.05807965,0.01938801,0.00546579,0.0568989,0.01880488
291.0,0.006208312,0.0580367,0.01937444,0.005484415,0.05690468,0.01881205
292.0,0.006201695,0.05798262,0.01935612,0.005485516,0.05689127,0.01880831
293.0,0.00627121,0.05788464,0.01934919,0.005545662,0.0568496,0.01881335
294.0,0.006194198,0.0578333,0.01930899,0.005457696,0.05673529,0.01875302
295.0,0.006178381,0.05779202,0.01929156,0.005419805,0.05660986,0.01870406
296.0,0.006174553,0.05774107,0.01927507,0.005389239,0.05643084,0.01864103
297.0,0.006161252,0.05767929,0.0192523,0.005361511,0.05622321,0.01857016
298.0,0.006166708,0.05747641,0.01919328,0.005305181,0.05569484,0.01839393
299.0,0.006244728,0.05745187,0.01921115,0.005596196,0.05562014,0.01845745
300.0,0.006134674,0.05741866,0.01916571,0.005358032,0.05561565,0.01838528
301.0,0.006106242,0.05738572,0.01914676,0.005323063,0.05562647,0.01837839
302.0,0.00608915,0.05735994,0.01913358,0.005305023,0.05565415,0.01838156
303.0,0.006081742,0.05732954,0.01912211,0.00529108,0.05566365,0.01838042
304.0,0.006066785,0.0572983,0.01910799,0.005297084,0.05566953,0.01838393
305.0,0.006067452,0.05723832,0.01909022,0.005288573,0.05565502,0.01837708
306.0,0.006071641,0.05720476,0.01908149,0.005294738,0.05563691,0.01837337
307.0,0.006060682,0.0571743,0.01906887,0.005282736,0.05562627,0.0183667
308.0,0.006023426,0.05712745,0.01904301,0.005236304,0.05554552,0.01832892
309.0,0.005991902,0.05705163,0.01901031,0.005180382,0.05548861,0.01829576
310.0,0.005911247,0.05707128,0.01899094,0.005082332,0.0554425,0.01825424
311.0,0.005895589,0.05700096,0.01896494,0.005060169,0.0553731,0.018227
312.0,0.005897901,0.05694573,0.01894906,0.005045809,0.05530278,0.01820165
313.0,0.005918586,0.0568925,0.01893952,0.005085273,0.05530449,0.01821314
314.0,0.005908884,0.05684986,0.01892368,0.005056723,0.05526883,0.01819436
315.0,0.005902962,0.05677841,0.01890036,0.005030909,0.05523652,0.01817739
316.0,0.005905634,0.056727,0.01888575,0.005027311,0.05521814,0.0181708
317.0,0.005942786,0.05666814,0.01887974,0.005078442,0.05521017,0.0181826
318.0,0.005912155,0.05664884,0.01886432,0.005045252,0.05519488,0.01816871
319.0,0.005904607,0.05662397,0.01885449,0.005040304,0.0551571,0.01815586
320.0,0.005897131,0.05656373,0.01883406,0.005039124,0.05505883,0.01812568
321.0,0.005889532,0.05646111,0.01880086,0.005043093,0.05490901,0.01808128
322.0,0.005963963,0.05631747,0.01878123,0.005035502,0.05463823,0.01799694
323.0,0.005894862,0.056243,0.01873705,0.005051081,0.05461842,0.01799529
324.0,0.005890349,0.05621328,0.0187267,0.005039482,0.05458655,0.01798237
325.0,0.005896309,0.05614925,0.01870936,0.005018021,0.05446755,0.01794023
326.0,0.005909031,0.05606767,0.0186889,0.004977552,0.05431531,0.01788271
327.0,0.006035285,0.05601759,0.01871421,0.005085112,0.05397952,0.01781116
328.0,0.005925045,0.05600895,0.01867636,0.004984615,0.05415536,0.01783611
